순번,큰 탭,세부 탭,화면명,사이트 경로,화면 역할,입력 데이터,산출/활용 데이터,다음 흐름,정리된 스크린샷,발표/보고서 활용 포인트
1,AI 기반 창업 준비도 진단,저장 방식,입력 데이터의 저장 방식을 선택,/founder/diagnosis/storage,"진단 이력을 일회성으로 볼지, 이후 추천과 성장 추적에 계속 활용할지 결정합니다.","저장 방식, 개인정보 처리 안내 확인",진단 데이터 관리 기준 확정,기관 공유 범위 선택,diagnosis-process/screenshots/01-storage.png,AI 기반 창업 준비도 진단 흐름에서 저장 방식 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
2,AI 기반 창업 준비도 진단,공유 범위,기관 연결을 위한 데이터 공유 범위 선택,/founder/diagnosis/sharing,"지원기관이 볼 수 있는 정보를 요약만 공유할지, 선택 항목까지 공유할지 분리합니다.","공유 범위, 기관 연결 동의",기관 추천과 상담 연결에 쓸 데이터 범위,창업 단계 입력,diagnosis-process/screenshots/02-sharing.png,AI 기반 창업 준비도 진단 흐름에서 공유 범위 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
3,AI 기반 창업 준비도 진단,창업 단계,현재 창업 단계 선택,/founder/intake/stage,"아이디어, 시장조사, MVP, 초기 고객 등 현재 위치를 기준으로 진단 기준을 맞춥니다.",창업 단계,동일 단계 창업자와 비교할 기준,업종과 활동 지역 입력,diagnosis-process/screenshots/03-stage.png,AI 기반 창업 준비도 진단 흐름에서 창업 단계 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
4,AI 기반 창업 준비도 진단,업종·지역,아이템 업종과 활동 지역 입력,/founder/intake/industry-region,"지역 창업지원센터, 멘토링, 지원사업 후보를 찾기 위한 기본 맥락을 만듭니다.","업종, 아이템 설명, 활동 지역",지역·업종 기반 추천 조건,MVP 링크 확인,diagnosis-process/screenshots/04-industry-region.png,AI 기반 창업 준비도 진단 흐름에서 업종·지역 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
5,AI 기반 창업 준비도 진단,MVP,공유 가능한 MVP 링크 확인,/founder/intake/mvp,실행준비도와 시장검증 근거를 판단할 수 있는 MVP 존재 여부를 확인합니다.,"MVP URL, MVP 상태",MVP 검증 또는 MVP 보완 액션 기준,시장검증과 자금 입력,diagnosis-process/screenshots/05-mvp-link.png,AI 기반 창업 준비도 진단 흐름에서 MVP 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
6,AI 기반 창업 준비도 진단,시장검증·자금,시장검증과 자금 입력 시작,/founder/intake/market-funding,시장검증과 자금 입력은 AI 기반 창업 준비도 진단의 핵심 입력 구간입니다.,"고객 인터뷰, 테스트 사용자, 유료 고객 여부, 자금 상태",시장검증도·안정성·정책금융 준비도 판단 근거,고객 검증 현황 입력,diagnosis-process/screenshots/06-market-funding-intro.png,AI 기반 창업 준비도 진단 흐름에서 시장검증·자금 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
7,AI 기반 창업 준비도 진단,고객 검증,고객 인터뷰와 테스트 사용자 수 입력,/founder/intake/customer-validation,AI가 추정이 아니라 실제 고객 접점 근거를 바탕으로 시장검증도를 판단하도록 합니다.,"고객 인터뷰 수, 테스트 사용자 수",고객 검증량 기준,고객 반응 유형 선택,diagnosis-process/screenshots/07-customer-validation.png,AI 기반 창업 준비도 진단 흐름에서 고객 검증 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
8,AI 기반 창업 준비도 진단,구매 의사,고객 반응 유형 선택,/founder/intake/purchase-intent,메모·설문·인터뷰 녹취처럼 반응의 신뢰도를 구분합니다.,고객 반응 유형,시장검증 근거의 질,자금 런웨이 계산,diagnosis-process/screenshots/08-purchase-intent.png,AI 기반 창업 준비도 진단 흐름에서 구매 의사 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
9,AI 기반 창업 준비도 진단,런웨이,현재 자금으로 버틸 수 있는 기간 입력,/founder/intake/runway,운영 안정성과 지원사업 신청 우선순위를 판단할 자금 지속 가능성을 계산합니다.,"보유 자금, 월 고정비",예상 런웨이와 안정성 근거,매출 계획 입력,diagnosis-process/screenshots/09-runway.png,AI 기반 창업 준비도 진단 흐름에서 런웨이 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
10,AI 기반 창업 준비도 진단,매출 계획,앞으로의 매출 계획 입력,/founder/intake/revenue,계획 매출과 실제 성장 추적을 비교할 기준값을 만듭니다.,3개월·6개월·12개월 예상 매출,성장성과 안정성 평가 기준,사업계획서 구조화 시작,diagnosis-process/screenshots/10-revenue-plan.png,AI 기반 창업 준비도 진단 흐름에서 매출 계획 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
11,AI 기반 창업 준비도 진단,사업계획,아이디어와 사업계획서 구조화 시작,/founder/intake/business-plan,"문제정의, 솔루션, 차별성, 시장 규모, 자금 사용계획을 같은 흐름으로 정리합니다.",사업계획 입력 안내 확인,사업계획서 진단 구간 진입,문제 정의 입력,diagnosis-process/screenshots/11-business-plan-intro.png,AI 기반 창업 준비도 진단 흐름에서 사업계획 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
12,AI 기반 창업 준비도 진단,문제 정의,해결하려는 문제 입력,/founder/intake/problem-definition,누구의 어떤 손실을 줄이는지 명확히 해 솔루션과 추천사업의 근거를 만듭니다.,"고객, 상황, 불편, 손실",문제정의 근거,솔루션 입력,diagnosis-process/screenshots/12-problem-definition.png,AI 기반 창업 준비도 진단 흐름에서 문제 정의 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
13,AI 기반 창업 준비도 진단,솔루션,문제를 해결하는 방식 입력,/founder/intake/solution,기능 나열이 아니라 고객 문제가 어떻게 줄어드는지 평가합니다.,"핵심 기능, 제공 가치, 구현 상태",솔루션 구체성 기준,차별성과 시장 규모 입력,diagnosis-process/screenshots/13-solution.png,AI 기반 창업 준비도 진단 흐름에서 솔루션 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
14,AI 기반 창업 준비도 진단,차별성·시장,차별성과 시장 규모 입력,/founder/intake/differentiation,성장성과 사업계획서 완성도를 판단할 경쟁·시장 근거를 정리합니다.,"기존 대안, 차별성, 시장 규모",성장성·차별성 평가 근거,자금 사용계획 입력,diagnosis-process/screenshots/14-differentiation-market.png,AI 기반 창업 준비도 진단 흐름에서 차별성·시장 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
